Pasadena, 2024-03-30 13:20:10, 2, US, 34.147644, -118.14448, 226.97, 0.0, 1.14, 94.41, 1.06, 6.52, 8.12, 4.43, Fair
Sheikhupura, 2024-03-30 14:43:41, 3, PK, 31.708529, 73.986404, 494.0, 0.01, 7.54, 120.16, 14.66, 28.42, 35.82, 13.17, Moderate
Fergana, 2024-03-30 15:07:50, 3, UZ, 40.376488, 71.79132, 230.31, 0.12, 0.91, 118.73, 0.45, 3.86, 10.38, 3.48, Moderate
Damascus, 2024-03-30 15:14:51, 3, SY, 33.51307, 36.30958, 230.31, 0.12, 0.91, 118.73, 0.45, 3.86, 10.38, 3.48, Moderate
Furano, 2024-03-30 15:07:50, 3, JP, 43.341976, 142.3832, 230.31, 0.12, 0.91, 118.73, 0.45, 3.86, 10.38, 3.48, Moderate
Lake Town, 2024-03-30 15:14:51, 3, IN, 26.2522, 88.18963, 230.31, 0.12, 0.91, 118.73, 0.45, 3.86, 10.38, 3.48, Moderate
Richmond, 2024-03-30 15:14:51, 3, US, 37.53851, -77.43428, 230.31, 0.12, 0.91, 118.73, 0.45, 3.86, 10.38, 3.48, Moderate
Alpine, 2024-03-30 15:14:51, 3, US, 30.360218, -103.66286, 230.31, 0.12, 0.91, 118.73, 0.45, 3.86, 10.38, 3.48, Moderate
Kuala Lumpur, 2024-03-30 15:14:51, 3, MY, 3.1516964, 101.69424, 230.31, 0.12, 0.91, 118.73, 0.45, 3.86, 10.38, 3.48, Moderate
Hiroshima, 2024-03-30 15:30:26, 4, JP, 34.391605, 132.45181, 407.22, 0.0, 30.16, 57.22, 11.09, 56.06, 70.95, 3.2, Poor
Nagasaki, 2024-03-30 15:30:26, 4, JP, 32.75016, 129.8781, 407.22, 0.0, 30.16, 57.22, 11.09, 56.06, 70.95, 3.2, Poor
Park, 2024-03-30 16:16:46, 2, US, 39.112507, -100.35875, 243.66, 0.0, 2.19, 72.96, 0.04, 2.46, 2.68, 1.65, Fair
Macau, 2024-03-30 16:39:44, 1, CN, 22.189945, 113.53805, 300.41, 0.0, 18.34, 38.62, 5.07, 8.65, 13.42, 1.33, Good
New Delhi, 2024-03-30 17:42:52, 4, IN, 28.613895, 77.20901, 1321.79, 0.35, 49.35, 40.77, 28.13, 64.68, 124.47, 21.53, Poor
Canberra, 2024-03-30 17:44:02, 2, AU, -35.297592, 149.10127, 297.07, 0.0, 10.11, 33.26, 1.0, 12.64, 14.39, 3.33, Fair
Riyadh, 2024-03-30 17:43:50, 2, SA, 24.638916, 46.71601, 297.07, 0.0, 10.11, 33.26, 1.0, 12.64, 14.39, 3.33, Fair
Port Moresby, 2024-03-30 17:43:50, 2, PG, -9.47433, 147.15996, 297.07, 0.0, 10.11, 33.26, 1.0, 12.64, 14.39, 3.33, Fair
Brasília, 2024-03-30 17:43:50, 2, BR, -15.793404, -47.882317, 297.07, 0.0, 10.11, 33.26, 1.0, 12.64, 14.39, 3.33, Fair
Khartoum, 2024-03-30 17:44:02, 2, SD, 15.563597, 32.534912, 297.07, 0.0, 10.11, 33.26, 1.0, 12.64, 14.39, 3.33, Fair
